Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5170.3868,23.3492,23.1056,0.2436,15.9759,23.9670,23.8944,0.0726,39.9443,12.1022,-11.9458,5170.3868,0.0014,51.6953,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5193.7360,0.3112,0.1505,0.1607,16.5937,0.2173,0.2148,0.0025,28.6973,12.1050,11.2470,5193.7360,11.8863,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5194.0472,23.0373,22.7933,0.2440,16.4998,23.9901,23.9772,0.0129,40.4911,12.1837,-11.7938,5194.0472,0.0012,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5217.0845,0.3046,0.1565,0.1481,17.4526,0.2702,0.2674,0.0028,29.6375,12.0940,10.8536,5217.0845,11.9147,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5217.3891,23.6822,23.4171,0.2651,17.4182,24.0083,23.9953,0.0130,41.4269,12.1476,-11.7894,5217.3891,0.0004,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5241.0713,0.3034,0.1525,0.1509,17.7443,0.2233,0.2233,0.0000,29.8923,11.4108,11.5346,5241.0713,11.9247,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5241.3747,21.8474,21.6069,0.2405,17.6642,23.3348,23.3229,0.0119,40.9997,12.0406,-11.1074,5241.3747,0.0007,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5263.2221,0.3193,0.1554,0.1639,19.1516,0.2134,0.2134,0.0000,31.1929,11.8000,9.8068,5263.2221,11.8279,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5263.5414,24.9001,24.6458,0.2543,19.0457,23.5108,23.4991,0.0117,42.6736,11.7760,-11.4807,5263.5414,0.1171,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5288.4415,0.3051,0.1539,0.1512,17.6564,0.2293,0.2293,0.0000,29.5495,11.9487,13.1241,5288.4415,11.6638,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5288.7466,24.0487,23.7884,0.2603,17.5806,23.4973,23.4833,0.0140,41.1931,11.8194,-11.6436,5288.7466,0.1152,52.2462,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5312.7953,0.3023,0.1541,0.1482,17.0292,0.2291,0.2291,0.0000,28.9638,11.8865,12.2293,5312.7953,11.7055,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5313.0976,24.1566,23.8962,0.2604,16.9560,23.5376,23.5263,0.0113,40.5480,11.9364,-11.5842,5313.0976,0.0544,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5337.2542,0.4797,0.2033,0.2764,16.3370,0.2875,0.2850,0.0025,28.3278,12.0398,12.2202,5337.2542,11.7033,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5337.7339,22.0104,21.7560,0.2544,16.1448,23.6556,23.6452,0.0104,39.8879,11.8363,-11.5601,5337.7339,0.0875,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5359.7443,0.3211,0.1532,0.1679,17.7900,0.2746,0.2723,0.0023,29.7138,12.3622,10.1741,5359.7443,11.6492,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5360.0654,23.5864,23.2486,0.3378,17.7435,24.0106,24.0003,0.0103,41.7549,11.8514,-12.0411,5360.0654,0.0008,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5383.6518,0.3386,0.1756,0.1630,18.1677,0.2729,0.2708,0.0021,30.0199,11.8886,11.7350,5383.6518,11.5793,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5383.9904,24.2857,24.0411,0.2446,18.1020,23.4671,23.4565,0.0106,41.5699,12.0990,-11.5500,5383.9904,0.0008,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5408.2761,0.3144,0.1626,0.1518,17.2834,0.2297,0.2270,0.0027,29.3832,12.1800,12.1867,5408.2761,11.8701,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5408.5905,23.2761,23.0059,0.2702,17.1987,24.0491,24.0332,0.0159,41.2488,12.0178,-11.8656,5408.5905,0.0010,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5431.8666,0.3240,0.1657,0.1583,17.9717,0.2216,0.2216,0.0000,29.9905,11.8888,11.2583,5431.8666,11.7972,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5432.1906,23.5118,23.2573,0.2545,17.8693,23.6851,23.6719,0.0132,41.5553,12.1383,-11.5648,5432.1906,0.0009,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5455.7024,0.3104,0.1565,0.1539,18.0426,0.2175,0.2156,0.0019,30.1818,12.0772,11.3735,5455.7024,11.9217,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5456.0128,22.4948,22.2267,0.2681,17.9497,23.9979,23.9827,0.0152,41.9486,12.0608,-11.7668,5456.0128,0.0010,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5478.5076,0.3638,0.1743,0.1895,19.4528,0.2151,0.2127,0.0024,31.5146,12.1319,10.4340,5478.5076,11.8467,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5478.8714,23.9987,23.7422,0.2565,19.3041,23.9776,23.9650,0.0126,43.2827,12.0371,-11.7681,5478.8714,0.0010,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5502.8701,0.3187,0.1678,0.1509,19.2830,0.2228,0.2204,0.0024,31.3211,12.1207,11.9616,5502.8701,11.8153,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5503.1888,25.1950,24.9381,0.2569,19.1871,23.9357,23.9255,0.0102,43.1231,12.1655,-11.8020,5503.1888,0.0003,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5528.3838,0.3129,0.1550,0.1579,17.9278,0.2260,0.2236,0.0024,30.0936,12.0660,13.0295,5528.3838,11.9398,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5528.6967,21.9886,21.7464,0.2422,17.8409,24.0051,23.9896,0.0155,41.8467,12.1353,-11.7531,5528.6967,0.0007,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5550.6853,0.3037,0.1524,0.1513,19.8574,0.2622,0.2594,0.0028,31.9934,11.9726,9.8533,5550.6853,11.8738,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5550.9890,25.5326,25.2665,0.2661,19.8159,23.8453,23.8344,0.0109,43.6623,12.1984,-11.6689,5550.9890,0.0011,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5576.5216,0.3110,0.1558,0.1552,18.1286,0.2275,0.2251,0.0024,30.3281,12.5384,13.3342,5576.5216,11.9720,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5576.8326,22.9618,22.6687,0.2931,18.0451,24.5096,24.5009,0.0087,42.5555,12.1341,-12.2274,5576.8326,0.0008,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5599.7944,0.3995,0.2139,0.1856,19.5929,0.2254,0.2225,0.0029,31.7278,11.6569,10.8277,5599.7944,11.9095,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5600.1939,23.5061,23.2612,0.2449,19.4188,23.5657,23.5532,0.0125,42.9852,12.4010,-11.2574,5600.1939,0.0007,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5623.7000,0.3190,0.1555,0.1635,19.4784,0.1835,0.1797,0.0038,31.8801,12.0682,11.1051,5623.7000,12.2182,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5624.0190,25.4100,25.1452,0.2648,19.3429,24.1821,24.1687,0.0134,43.6293,12.0638,-11.7492,5624.0190,0.1043,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5649.4290,0.3181,0.1566,0.1615,18.1150,0.1762,0.1693,0.0069,30.2831,15.0983,13.3462,5649.4290,11.9919,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5649.7471,22.3513,22.1170,0.2343,17.9731,26.9767,26.9633,0.0134,45.0633,12.0717,-14.7802,5649.7471,0.1135,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5672.0984,0.3155,0.1502,0.1653,22.5985,0.2342,0.2342,0.0000,34.7837,15.2948,10.2796,5672.0984,11.9510,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5672.4139,24.6654,24.4270,0.2384,22.5172,27.2445,27.2374,0.0071,49.7630,13.6718,-14.9793,5672.4139,0.0013,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5697.0793,0.3010,0.1532,0.1478,25.0963,0.2335,0.2335,0.0000,38.7694,10.5417,10.9936,5697.0793,13.4396,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5697.3803,24.0883,23.8226,0.2657,25.0288,23.9805,23.9739,0.0066,49.0101,13.6973,-10.2407,5697.3803,0.0008,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5721.4686,0.5487,0.1598,0.3889,24.9210,0.2337,0.2308,0.0029,38.6191,10.3073,10.3910,5721.4686,13.4644,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5722.0173,24.4228,24.0596,0.3632,24.6060,23.7713,23.7642,0.0071,48.3777,12.9223,-9.7586,5722.0173,0.0004,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5746.4401,0.4693,0.3050,0.1643,23.9545,0.2237,0.2237,0.0000,36.8772,12.2159,11.5005,5746.4401,12.6990,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5746.9094,27.6091,27.3303,0.2788,23.7089,24.2885,24.2821,0.0064,48.6238,11.6233,-11.7466,5746.9094,0.6264,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,5774.5185,0.3650,0.1693,0.1957,20.3883,0.1881,0.1833,0.0048,32.6380,12.7216,15.9858,5774.5185,12.0616,NA,NA
