Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,7247.5777,16.3667,16.1007,0.2660,10.6701,17.1681,17.1615,0.0066,27.8765,8.5994,-8.4212,7247.5777,0.0383,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,7263.9444,0.3678,0.1673,0.2005,11.4715,0.1202,0.1187,0.0015,20.1092,8.9079,7.7673,7263.9444,8.5175,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,7264.3122,17.2995,17.0388,0.2607,11.2239,17.4244,17.4155,0.0089,28.6493,8.7064,-8.5401,7264.3122,0.0010,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,7281.6117,0.4229,0.1952,0.2277,11.3488,0.1037,0.1020,0.0017,20.0562,8.5914,8.5931,7281.6117,8.6037,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,7282.0346,17.3972,17.0508,0.3464,11.0296,17.1945,17.1876,0.0069,28.2247,8.7153,-8.1685,7282.0346,0.0006,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,7299.4318,0.3802,0.1991,0.1811,10.8269,0.1355,0.1338,0.0017,19.5428,8.5747,8.6819,7299.4318,8.5804,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,7299.8120,16.8534,16.5473,0.3061,10.5822,17.1544,17.1446,0.0098,27.7373,8.5903,-8.1945,7299.8120,0.0007,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,7316.6654,0.3877,0.1925,0.1952,10.8832,0.1016,0.1000,0.0016,19.4742,8.7507,8.2631,7316.6654,8.4894,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,7317.0531,18.4019,17.2382,1.1637,10.5971,17.2396,17.2271,0.0125,27.8372,8.6512,-8.3630,7317.0531,0.0005,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,7335.4550,1.0857,0.5866,0.4991,9.4348,0.1041,0.1024,0.0017,18.0865,8.5005,9.7507,7335.4550,8.5476,NA,NA
