Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,15518.8587,NA,25.18870000000000,23.33190000000000,17.16350000000000,40.25480000000000,40.3318,15514.4154,21.6068,4.4433,17.1635,21.3389,23.3592,5.9657,17.3935,1.5964,15514.4154,NA,NA,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,15540.2492,NA,21.39050000000000,24.97140000000000,19.10060000000000,42.23230000000000,43.9127,15536.0222,23.3276,4.2270,19.1006,23.0913,23.3680,6.0163,17.3517,-3.3646,15536.0222,NA,NA,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,15563.7150,NA,23.46580000000000,20.74320000000000,20.61000000000000,41.12570000000000,41.1901,15559.3498,24.9752,4.3652,20.6100,23.1317,22.3592,5.5527,16.8065,2.5844,15559.3498,NA,56.3725,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,15588.6102,NA,24.89520000000000,22.61210000000000,16.43750000000000,38.83440000000000,38.9070,15584.3250,20.7227,4.2852,16.4375,20.5157,22.6039,5.9983,16.6056,2.3631,15584.3250,NA,NA,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,15609.7876,NA,21.17740000000000,23.99360000000000,17.83280000000000,40.75630000000000,41.7232,15605.0477,22.5727,4.7399,17.8328,22.3969,23.0993,5.5625,17.5368,-3.2709,15605.0477,NA,46.9306,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,15632.1079,NA,22.32030000000000,21.97090000000000,19.50050000000000,41.31430000000000,41.3738,15627.6204,23.9880,4.4875,19.5005,22.9235,22.8783,6.0440,16.8343,0.6018,15627.6204,NA,41.9688,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,15655.7914,NA,23.68350000000000,25.17080000000000,17.81320000000000,41.21600000000000,42.8611,15651.6084,21.9962,4.1830,17.8132,21.8138,23.5852,6.0547,17.5305,-1.1828,15651.6084,NA,46.1344,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,15677.8548,NA,22.06340000000000,24.88240000000000,20.88880000000000,42.65120000000000,45.6801,15673.6046,25.1390,4.2502,20.8888,23.4028,23.4986,6.0119,17.4867,-2.8862,15673.6046,NA,50.0230,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,15703.0320,NA,25.17720000000000,20.36760000000000,20.61770000000000,40.80690000000000,40.8705,15698.7436,24.9061,4.2884,20.6177,21.7624,23.3329,5.9845,17.3484,4.7714,15698.7436,NA,44.3086,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,15728.2988,NA,25.26680000000000,24.86690000000000,15.70250000000000,38.80890000000000,40.4706,15723.6497,20.3516,4.6491,15.7025,20.1892,23.2688,6.0409,17.2279,0.0392,15723.6497,NA,42.2582,NA
