Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8130.3334,0.3191,0.1673,0.1518,15.5499,0.1290,0.1267,0.0023,26.8380,11.3947,10.5098,8130.3334,11.1591,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8130.6525,23.3838,23.1444,0.2394,15.3598,22.5299,22.5162,0.0137,37.9136,11.2914,-11.0756,8130.6525,0.0239,35.5237,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8154.0363,0.3057,0.1490,0.1567,14.5059,0.1949,0.1949,0.0000,25.8212,10.7970,12.0924,8154.0363,11.1204,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8154.3420,21.8399,21.5913,0.2486,14.3951,21.9165,21.9040,0.0125,36.3125,11.2388,-10.4913,8154.3420,0.0009,40.6114,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8176.1819,0.3032,0.1512,0.1520,14.4717,0.1211,0.1185,0.0026,25.7114,11.5485,10.6011,8176.1819,11.1186,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8176.4851,22.8627,22.6114,0.2513,14.2896,22.4843,22.4684,0.0159,36.9567,11.0487,-11.2453,8176.4851,0.1828,35.3977,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8199.3478,0.3024,0.1581,0.1443,13.9112,0.0576,0.0531,0.0045,25.1427,11.0567,11.8140,8199.3478,11.1739,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8199.6502,21.6437,21.3929,0.2508,13.6664,22.2293,22.2170,0.0123,35.8970,11.2318,-10.7543,8199.6502,0.0013,33.5005,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8221.2939,0.3175,0.1541,0.1634,14.2520,0.0777,0.0762,0.0015,25.4851,11.9825,10.4119,8221.2939,11.1554,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8221.6114,23.1776,22.9267,0.2509,14.0122,23.0864,22.5238,0.5626,37.1501,11.1974,-11.6650,8221.6114,0.0515,38.7188,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8244.7890,0.3086,0.1535,0.1551,13.9210,0.1079,0.1063,0.0016,25.1699,11.5879,11.9802,8244.7890,11.1410,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8245.0976,22.2503,22.0020,0.2483,13.7203,22.7282,22.2052,0.5230,36.4492,11.4986,-11.2793,8245.0976,0.0007,34.5152,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8267.3479,0.3117,0.1511,0.1606,14.1982,0.2116,0.2092,0.0024,25.6975,11.4693,10.7517,8267.3479,11.2877,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8267.6596,23.5422,23.2904,0.2518,14.0981,22.7560,22.4564,0.2996,36.8551,11.5720,-11.1576,8267.6596,0.0010,34.4844,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8291.2018,0.3072,0.1566,0.1506,13.3119,0.1191,0.1168,0.0023,24.8849,11.0007,11.9702,8291.2018,11.4539,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8291.5090,20.5348,20.2253,0.3095,13.1238,22.4536,22.4434,0.0102,35.5784,11.4713,-10.6935,8291.5090,0.0010,34.0446,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8312.0438,0.3628,0.1796,0.1832,15.0426,0.1152,0.1135,0.0017,26.5149,11.9758,9.0635,8312.0438,11.3571,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8312.4066,21.5104,21.2496,0.2608,14.7950,23.3319,23.3144,0.0175,38.1279,11.1676,-11.6130,8312.4066,0.0010,44.4985,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8333.9170,0.3008,0.1524,0.1484,16.6165,0.1064,0.1047,0.0017,27.7851,10.9925,10.3428,8333.9170,11.0622,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8334.2178,21.8202,21.5680,0.2522,16.4221,22.0542,22.0363,0.0179,38.4768,11.5451,-10.6917,8334.2178,0.0005,36.6568,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,8356.0380,0.3063,0.1504,0.1559,16.6561,0.1451,0.1421,0.0030,28.2017,11.3986,10.2751,8356.0380,11.4005,NA,NA
