Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14402.5929,NA,27.11630000000000,26.97950000000000,0.25510000000000,14.60620000000000,14.6590,14375.7442,27.1038,26.8487,0.2551,14.4771,26.9778,24.7628,2.2150,-0.4966,14375.7442,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14428.7363,NA,26.14340000000000,26.40550000000000,0.26680000000000,14.87520000000000,14.9211,14402.8480,26.1551,25.8883,0.2668,14.3511,26.4124,25.4955,0.9169,0.6983,14402.8480,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14453.5127,NA,24.77640000000000,24.84170000000000,0.26810000000000,14.92940000000000,14.9864,14429.0031,24.7777,24.5096,0.2681,14.6084,24.8306,24.8241,0.0065,1.3134,14429.0031,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14483.4731,NA,29.96040000000000,28.55430000000000,0.66910000000000,13.53680000000000,13.5803,14453.7808,30.3614,29.6923,0.6691,14.6613,28.5678,25.7693,2.7985,-3.7766,14453.7808,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14505.3084,NA,21.83530000000000,25.18440000000000,0.26500000000000,16.88070000000000,16.9294,14484.1422,21.4312,21.1662,0.2650,12.8677,25.1792,25.1745,0.0047,5.1770,14484.1422,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14531.9156,NA,26.60720000000000,24.87690000000000,0.27970000000000,15.18320000000000,15.1991,14505.5734,26.6219,26.3422,0.2797,16.6157,24.9097,24.9025,0.0072,-3.4457,14505.5734,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14557.2412,NA,25.32560000000000,24.89720000000000,0.26080000000000,14.72750000000000,14.7707,14532.1953,25.3067,25.0459,0.2608,14.9035,24.8699,24.8641,0.0058,1.7247,14532.1953,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14582.2445,NA,25.00330000000000,25.07340000000000,0.26050000000000,14.78220000000000,14.8408,14557.5020,25.0030,24.7425,0.2605,14.4667,25.0580,24.9317,0.1263,0.2333,14557.5020,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14608.0693,NA,25.82480000000000,26.86400000000000,0.31970000000000,15.81500000000000,15.8800,14582.5050,25.8840,25.5643,0.3197,14.5217,26.8576,25.6694,1.1882,-1.8610,14582.5050,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14634.2929,NA,26.22360000000000,25.45640000000000,0.28450000000000,15.06580000000000,15.1128,14608.3890,26.1884,25.9039,0.2845,15.4953,25.4744,25.2082,0.2662,0.4276,14608.3890,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14661.8099,NA,27.51700000000000,27.34390000000000,0.28100000000000,14.88210000000000,14.9397,14634.5774,27.5135,27.2325,0.2810,14.7813,27.3333,25.1278,2.2055,-1.1555,14634.5774,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14685.5535,NA,23.74360000000000,24.57040000000000,0.28370000000000,15.71140000000000,15.7665,14662.0909,23.7463,23.4626,0.2837,14.6011,24.5729,24.5682,0.0047,2.9431,14662.0909,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14712.4147,NA,26.86120000000000,25.91200000000000,0.25690000000000,14.77250000000000,14.8173,14685.8372,26.8344,26.5775,0.2569,15.4277,25.9223,24.6643,1.2580,-2.1657,14685.8372,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14739.8008,NA,27.38610000000000,26.25930000000000,0.26440000000000,13.61290000000000,13.6905,14712.6716,27.3936,27.1292,0.2644,14.5156,26.2265,25.2313,0.9952,0.5751,14712.6716,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14767.0986,NA,27.29780000000000,26.83810000000000,0.26350000000000,13.18480000000000,13.2308,14740.0652,27.2969,27.0334,0.2635,13.3485,26.8697,24.8125,2.0572,0.5555,14740.0652,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14790.9495,NA,23.85090000000000,25.16370000000000,0.25270000000000,14.47550000000000,14.5436,14767.3621,23.8401,23.5874,0.2527,12.9213,25.1416,24.4175,0.7241,2.1332,14767.3621,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14818.3116,NA,27.36210000000000,26.08760000000000,0.27390000000000,13.18990000000000,13.2691,14791.2022,27.3833,27.1094,0.2739,14.2228,26.0765,25.5239,0.5526,-2.2475,14791.2022,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14845.3727,NA,27.06110000000000,27.58660000000000,0.25830000000000,13.74530000000000,13.7946,14818.5855,27.0455,26.7872,0.2583,12.9160,27.6165,24.3504,3.2661,-0.2033,14818.5855,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14868.3111,NA,22.93840000000000,24.02430000000000,0.27070000000000,14.83660000000000,14.8805,14845.6310,22.9508,22.6801,0.2707,13.4870,24.0297,24.0262,0.0035,3.0212,14845.6310,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14893.5616,NA,25.25050000000000,24.46390000000000,0.26120000000000,14.04980000000000,14.0939,14868.5818,25.2410,24.9798,0.2612,14.5659,24.4637,24.2549,0.2088,-1.5131,14868.5818,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14919.2301,NA,25.66850000000000,25.47670000000000,0.25480000000000,13.88630000000000,13.9021,14893.8228,25.6621,25.4073,0.2548,13.7886,25.5050,24.3227,1.1823,-0.2357,14893.8228,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14945.1136,NA,25.88350000000000,26.39350000000000,0.26530000000000,14.36790000000000,14.4121,14919.4849,25.8940,25.6287,0.2653,13.6315,26.3651,24.3710,1.9941,-0.7314,14919.4849,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14971.3021,NA,26.18850000000000,25.35110000000000,0.26190000000000,13.53250000000000,13.5747,14945.3789,26.1851,25.9232,0.2619,14.1026,25.3531,25.1043,0.2488,0.5429,14945.3789,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,14998.9655,NA,27.66340000000000,27.38300000000000,0.30580000000000,13.25070000000000,13.2943,14971.5640,27.7073,27.4015,0.3058,13.2706,27.3816,24.6167,2.7649,-1.1979,14971.5640,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15021.7117,NA,22.74620000000000,24.38640000000000,0.26950000000000,14.88940000000000,14.9345,14999.2713,22.7099,22.4404,0.2695,12.9449,24.3849,24.3808,0.0041,3.3209,14999.2713,NA,42.4514,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15047.0584,NA,25.34670000000000,24.44400000000000,0.25480000000000,14.00800000000000,14.0318,15021.9812,25.3320,25.0772,0.2548,14.6199,24.4653,23.9791,0.4862,-1.7341,15021.9812,NA,38.8989,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15072.6107,NA,25.55230000000000,25.78050000000000,0.24560000000000,14.21580000000000,14.2600,15047.3132,25.5431,25.2975,0.2456,13.7532,25.7601,24.8816,0.8785,-0.4485,15047.3132,NA,38.6742,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15100.6548,NA,28.04410000000000,26.02630000000000,0.35730000000000,12.22880000000000,12.2422,15072.8563,28.1558,27.7985,0.3573,13.9702,26.0571,25.0700,0.9871,-0.4832,15072.8563,NA,13.7038,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15124.0345,NA,23.37970000000000,24.87690000000000,0.28300000000000,13.66050000000000,13.7394,15101.0121,23.3054,23.0224,0.2830,11.8715,24.8114,24.7164,0.0950,3.2789,15101.0121,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15149.6770,NA,25.64250000000000,26.62390000000000,0.24730000000000,14.66730000000000,14.7208,15124.3175,25.6068,25.3595,0.2473,13.3775,26.6493,25.3770,1.2723,-3.3185,15124.3175,NA,40.2017,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15175.0093,NA,25.33230000000000,25.31980000000000,0.26140000000000,14.65220000000000,14.7083,15149.9243,25.3464,25.0850,0.2614,14.4200,25.3172,25.3125,0.0047,0.2870,15149.9243,NA,41.5196,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15199.3763,NA,24.36700000000000,24.44860000000000,0.25710000000000,14.71740000000000,14.7899,15175.2707,24.3627,24.1056,0.2571,14.3908,24.4322,24.4267,0.0055,0.8978,15175.2707,NA,37.9690,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15225.5822,NA,26.20590000000000,25.49610000000000,0.27660000000000,14.03570000000000,14.0801,15199.6334,26.2254,25.9488,0.2766,14.4603,25.5242,25.5187,0.0055,-1.1334,15199.6334,NA,38.4689,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15253.5373,NA,27.95510000000000,26.86290000000000,0.25270000000000,12.89890000000000,12.9879,15225.8588,27.9312,27.6785,0.2527,13.7591,26.8183,25.6808,1.1375,-0.6375,15225.8588,NA,14.3311,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15276.7361,NA,23.19880000000000,25.51940000000000,0.32590000000000,15.23060000000000,15.3085,15253.7900,23.2720,22.9461,0.3259,12.6462,25.5305,25.3281,0.2024,2.4118,15253.7900,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15303.5273,NA,26.79120000000000,26.94010000000000,0.27340000000000,15.43930000000000,15.4574,15277.0620,26.7387,26.4653,0.2734,14.9047,26.9999,25.7385,1.2614,-3.6681,15277.0620,NA,40.7916,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15334.1633,NA,30.63600000000000,29.75950000000000,0.30450000000000,14.53340000000000,14.5809,15303.8007,30.6671,30.3626,0.3045,15.1659,29.7301,26.9723,2.7578,-3.0208,15303.8007,NA,17.5500,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15360.8700,NA,26.70670000000000,25.93340000000000,0.44670000000000,13.69920000000000,13.8076,15334.4678,26.8489,26.4022,0.4467,14.2289,25.8725,25.8668,0.0057,4.7337,15334.4678,NA,17.4837,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15385.1089,NA,24.23890000000000,25.38900000000000,0.27880000000000,14.88450000000000,14.9577,15361.3167,24.0710,23.7922,0.2788,13.2525,25.4242,25.4189,0.0053,1.4599,15361.3167,NA,16.8675,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15411.1721,NA,26.06320000000000,25.71730000000000,0.26990000000000,14.53530000000000,14.6118,15385.3877,26.0543,25.7844,0.2699,14.6057,25.7140,25.7076,0.0064,-1.6463,15385.3877,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15435.1459,NA,23.97380000000000,24.82880000000000,0.25480000000000,15.41350000000000,15.4668,15411.4420,23.9587,23.7039,0.2548,14.2654,24.8520,24.8475,0.0045,1.2255,15411.4420,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15460.8477,NA,25.70180000000000,24.41550000000000,0.26350000000000,14.09620000000000,14.1805,15435.4007,25.7105,25.4470,0.2635,15.1587,24.3845,24.3795,0.0050,-0.4568,15435.4007,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15487.4612,NA,26.61350000000000,26.08350000000000,0.31360000000000,13.59410000000000,13.6505,15461.1112,26.6636,26.3500,0.3136,13.8327,26.1114,24.3357,1.7757,-0.3730,15461.1112,NA,42.8900,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15514.3044,NA,26.84320000000000,27.38270000000000,0.26580000000000,14.14640000000000,14.1900,15487.7748,26.7954,26.5296,0.2658,13.2805,27.3955,24.5389,2.8566,-0.7191,15487.7748,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15541.9698,NA,27.66540000000000,27.50480000000000,0.26640000000000,13.96680000000000,14.0294,15514.5702,27.6660,27.3996,0.2664,13.8806,27.4858,24.5391,2.9467,-0.7094,15514.5702,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15568.0080,NA,26.03820000000000,26.03650000000000,0.28810000000000,13.97890000000000,14.0277,15542.2362,26.0599,25.7718,0.2881,13.7004,26.0503,24.5980,1.4523,1.6295,15542.2362,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15593.4529,NA,25.44490000000000,25.17510000000000,0.25150000000000,13.70820000000000,13.7579,15568.2961,25.4083,25.1568,0.2515,13.6908,25.1742,24.3639,0.8103,0.8848,15568.2961,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15618.4180,NA,24.96510000000000,25.63720000000000,0.26580000000000,14.41590000000000,14.4300,15593.7044,24.9794,24.7136,0.2658,13.4567,25.6728,24.6727,1.0001,-0.2289,15593.7044,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15645.1242,NA,26.70620000000000,26.67020000000000,0.25240000000000,14.37830000000000,14.3940,15618.6838,26.6928,26.4404,0.2524,14.1501,26.6686,24.4729,2.1957,-1.6908,15618.6838,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15669.2921,NA,24.16790000000000,24.23030000000000,0.51770000000000,14.40380000000000,14.4564,15645.3766,24.4332,23.9155,0.5177,14.1259,24.1934,24.1888,0.0046,2.4625,15645.3766,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15694.8685,NA,25.57640000000000,25.50480000000000,0.25730000000000,14.32950000000000,14.3848,15669.8098,25.3160,25.0587,0.2573,13.8861,25.5021,24.3086,1.1935,-1.0716,15669.8098,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15720.7803,NA,25.91180000000000,25.81750000000000,0.25480000000000,14.21370000000000,14.2905,15695.1258,25.9093,25.6545,0.2548,14.0722,25.7960,24.8446,0.9514,-0.5015,15695.1258,NA,37.8686,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15745.5777,NA,24.79740000000000,24.81210000000000,0.25430000000000,14.26400000000000,14.3052,15721.0351,24.7969,24.5426,0.2543,13.9589,24.8477,24.1121,0.7356,1.0972,15721.0351,NA,41.6830,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15770.7695,NA,25.19180000000000,25.08390000000000,0.25390000000000,14.15560000000000,14.1973,15745.8320,25.1914,24.9375,0.2539,14.0097,25.0834,24.2455,0.8379,-0.2870,15745.8320,NA,43.7161,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15795.6313,NA,24.86180000000000,25.18690000000000,0.25170000000000,14.46300000000000,14.5224,15771.0234,24.8596,24.6079,0.2517,13.9017,25.1692,24.6472,0.5220,0.0045,15771.0234,NA,41.9392,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15824.2840,NA,28.65270000000000,27.42110000000000,0.64130000000000,13.24260000000000,13.2908,15795.8830,29.0423,28.4010,0.6413,14.2113,27.4323,24.7989,2.6334,-2.5615,15795.8830,NA,22.3710,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,15847.6270,NA,23.34300000000000,24.61750000000000,0.26050000000000,14.52770000000000,14.5653,15824.9253,22.9622,22.7017,0.2605,12.6013,24.6281,24.6234,0.0047,4.4248,15824.9253,NA,NA,NA
