Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,24770.7777,0.4068,0.1589,0.2479,27.9493,0.2020,0.2005,0.0015,45.3587,21.4819,18.9097,24770.7777,17.2074,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,24771.1845,36.3499,36.0970,0.2529,27.7445,38.6888,38.6795,0.0093,66.4338,18.9052,-21.0751,24771.1845,0.0005,66.6628,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,24807.5344,0.3102,0.1576,0.1526,30.0834,0.2282,0.2282,0.0000,48.9891,18.5304,17.4447,24807.5344,18.6775,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,24807.8446,32.3642,32.1175,0.2467,30.0014,37.2070,37.2021,0.0049,67.2093,18.7123,-18.2202,24807.8446,0.0009,57.1017,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,24840.2088,0.3037,0.1545,0.1492,34.8442,0.2281,0.2251,0.0030,53.5574,13.8618,13.6519,24840.2088,18.4851,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,24840.5125,36.2638,36.0173,0.2465,34.7686,32.3461,32.3418,0.0043,67.1155,18.5074,-13.5581,24840.5125,0.0008,56.6777,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,24876.7763,0.3245,0.1680,0.1565,30.8509,0.2082,0.2058,0.0024,49.3591,13.3730,17.7564,24876.7763,18.3000,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,24877.1008,35.9549,35.6899,0.2650,30.7346,31.6719,31.6647,0.0072,62.4076,18.3311,-13.0485,24877.1008,0.0011,56.5489,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,24913.0557,0.3466,0.1914,0.1552,26.4516,0.1821,0.1777,0.0044,44.7838,14.1900,17.6238,24913.0557,18.1501,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,24913.4023,34.1819,33.9245,0.2574,26.2871,32.1041,32.0977,0.0064,58.6272,16.8497,-13.8434,24913.4023,0.2360,62.2672,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,24947.5842,0.3168,0.1597,0.1571,24.2093,0.2000,0.1982,0.0018,41.2950,18.1189,17.3322,24947.5842,16.8857,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,24947.9010,28.4179,28.1692,0.2487,24.0925,33.5038,33.4934,0.0104,59.0971,15.8129,-17.8021,24947.9010,1.5008,66.4865,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,24976.3189,0.3058,0.1549,0.1509,29.1784,0.2200,0.2200,0.0000,46.4921,16.5489,12.6050,24976.3189,17.0937,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,24976.6247,33.9535,33.7122,0.2413,29.0926,32.1418,32.1220,0.0198,62.7352,15.7006,-16.2431,24976.6247,1.5008,52.7363,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,25010.5782,0.3344,0.1552,0.1792,27.2809,0.2024,0.2007,0.0017,44.4823,17.1937,18.2529,25010.5782,16.9990,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,25010.9126,33.5964,33.3306,0.2658,27.1489,32.8662,32.8536,0.0126,61.3416,15.7790,-16.8593,25010.9126,1.3265,54.8846,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,25044.5090,0.3159,0.1532,0.1627,26.4187,0.1989,0.1971,0.0018,43.5242,16.4624,17.8174,25044.5090,16.9066,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,25044.8249,33.7510,33.4896,0.2614,26.3017,32.7817,32.7735,0.0082,59.6707,16.4780,-16.1465,25044.8249,0.5873,56.3710,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,25078.5759,0.3241,0.1586,0.1655,25.3324,0.2143,0.2095,0.0048,42.3977,16.2001,17.2730,25078.5759,16.8510,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,25078.9000,34.6682,34.4148,0.2534,25.2226,32.7946,32.7070,0.0876,58.2737,16.9869,-15.8760,25078.9000,0.2565,58.2902,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,25113.5682,0.3074,0.1522,0.1552,23.3490,0.1630,0.1579,0.0051,40.5924,18.1780,17.6813,25113.5682,17.0804,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,25113.8756,34.2991,34.0455,0.2536,23.2046,34.8544,33.3839,1.4705,58.4630,16.6882,-17.8706,25113.8756,0.4040,62.6911,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,25148.1747,0.3248,0.1698,0.1550,23.7599,0.1708,0.1651,0.0057,40.8521,18.0115,17.6109,25148.1747,16.9214,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,25148.4995,35.4148,35.1474,0.2674,23.6059,34.9325,32.6648,2.2677,58.5388,17.2781,-17.6867,25148.4995,0.0004,66.6276,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,25183.9143,0.3329,0.1660,0.1669,23.1236,0.2166,0.2166,0.0000,40.4021,15.5277,18.1367,25183.9143,17.0619,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,25184.2472,30.8101,30.5561,0.2540,23.0073,32.5893,32.5455,0.0438,55.5969,17.8587,-15.1948,25184.2472,0.0003,68.6664,NA
