Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,14351.4105,NA,12.90220000000000,13.01910000000000,0.70570000000000,4.87190000000000,4.9187,14338.9659,13.1503,12.4446,0.7057,4.2408,13.0757,13.0698,0.0059,0.5720,14338.9659,NA,9.9402,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,14366.9288,NA,15.51830000000000,14.80240000000000,0.41590000000000,4.03410000000000,4.2028,14352.1162,15.2285,14.8126,0.4159,4.1662,14.6805,13.9086,0.7719,-1.6521,14352.1162,NA,10.7416,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,14381.6417,NA,14.71290000000000,14.32160000000000,0.25480000000000,3.73870000000000,3.8115,14367.3447,14.5518,14.2970,0.2548,3.6182,14.4175,13.6234,0.7941,0.9069,14367.3447,NA,10.0602,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,14395.4360,NA,13.79430000000000,14.40380000000000,0.33090000000000,4.38910000000000,4.4210,14381.8965,13.8704,13.5395,0.3309,3.4839,14.4447,14.2960,0.1487,0.1480,14381.8965,NA,8.4699,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,14410.4593,NA,15.02330000000000,14.79600000000000,0.33110000000000,4.07940000000000,4.1937,14395.7669,15.0235,14.6924,0.3311,4.0582,14.7136,14.1707,0.5429,-0.9256,14395.7669,NA,9.2618,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,14429.8893,NA,19.43000000000000,18.91240000000000,0.28320000000000,3.54300000000000,3.6761,14410.7904,19.3821,19.0989,0.2832,3.7483,18.8936,14.4733,4.4203,-3.8889,14410.7904,NA,14.1796,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,14449.1841,NA,19.29480000000000,19.12320000000000,0.30280000000000,3.47950000000000,3.5045,14430.1725,19.3144,19.0116,0.3028,3.2598,19.2313,14.8675,4.3638,0.2589,14430.1725,NA,19.3011,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,14465.3014,NA,16.11730000000000,17.91940000000000,0.26260000000000,5.09830000000000,5.3066,14449.4869,16.0771,15.8145,0.2626,3.1767,17.7361,15.1176,2.6185,1.3950,14449.4869,NA,20.2149,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,14476.8982,NA,11.59680000000000,14.34910000000000,0.28260000000000,7.98670000000000,8.0589,14465.5640,11.6168,11.3342,0.2826,4.8357,14.4852,14.4787,0.0065,1.7280,14465.5640,NA,18.5691,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,14488.1439,NA,11.24570000000000,15.35500000000000,0.33090000000000,12.09060000000000,12.1682,14477.1808,11.2940,10.9631,0.3309,7.7041,15.3496,15.3436,0.0060,-3.7382,14477.1808,NA,18.8988,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,14501.0947,NA,12.95080000000000,15.94930000000000,0.38150000000000,13.58590000000000,15.1667,14488.4748,13.0014,12.6199,0.3815,11.7597,14.4461,14.4370,0.0091,-4.6553,14488.4748,NA,19.8726,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,14518.7924,NA,17.69770000000000,12.93240000000000,0.36160000000000,10.29400000000000,10.4014,14501.4762,17.6778,17.3162,0.3616,13.2044,14.4058,14.3979,0.0079,0.0690,14501.4762,NA,18.7934,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,14534.2501,NA,15.45770000000000,15.87850000000000,0.41860000000000,9.55900000000000,10.8222,14519.1540,15.5147,15.0961,0.4186,9.9324,14.7227,14.7157,0.0070,1.7993,14519.1540,NA,20.6779,NA
