Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
BioshockHD.exe,2812,0xB458698,DXGI,0,0,1,Hardware Composed: Independent Flip,53.0087,NA,20.87470000000000,18.44570000000000,12.07590000000000,29.50640000000000,30.4185,50.7244,14.3602,2.2843,12.0759,14.2479,17.5428,2.4327,15.1101,NA,50.7244,NA,32.2224,NA
BioshockHD.exe,2812,0xB458698,DXGI,0,0,1,Hardware Composed: Independent Flip,67.5135,NA,14.50480000000000,16.13190000000000,16.01080000000000,32.03660000000000,32.0456,65.0846,18.4397,2.4289,16.0108,17.4305,17.0350,2.4286,14.6064,-1.7717,65.0846,NA,34.3610,NA
BioshockHD.exe,2812,0xB458698,DXGI,0,0,1,Hardware Composed: Independent Flip,86.0019,NA,18.48840000000000,17.23610000000000,13.66250000000000,30.78350000000000,30.7933,83.5243,16.1401,2.4776,13.6625,16.0258,17.2353,2.4414,14.7939,1.2036,83.5243,NA,32.5964,NA
BioshockHD.exe,2812,0xB458698,DXGI,0,0,1,Hardware Composed: Independent Flip,102.1903,NA,16.18840000000000,17.50490000000000,14.73910000000000,31.87050000000000,32.1098,99.6644,17.2650,2.5259,14.7391,17.1210,17.2754,2.4246,14.8508,-1.3648,99.6644,NA,35.1060,NA
BioshockHD.exe,2812,0xB458698,DXGI,0,0,1,Hardware Composed: Independent Flip,119.8111,NA,17.62080000000000,17.03900000000000,14.67010000000000,31.51890000000000,31.5280,116.9294,17.5518,2.8817,14.6701,17.1314,17.2692,2.4206,14.8486,0.2260,116.9294,NA,32.1381,NA
BioshockHD.exe,2812,0xB458698,DXGI,0,0,1,Hardware Composed: Independent Flip,137.1996,NA,17.38850000000000,17.42100000000000,14.27960000000000,31.44350000000000,31.5605,134.4812,16.9980,2.7184,14.2796,16.8488,17.3131,2.5008,14.8123,0.1308,134.4812,NA,34.5657,NA
BioshockHD.exe,2812,0xB458698,DXGI,0,0,1,Hardware Composed: Independent Flip,154.1735,NA,16.97390000000000,17.21670000000000,14.68390000000000,31.70800000000000,31.8033,151.4792,17.3782,2.6943,14.6839,17.1639,17.2384,2.4711,14.7673,-0.2187,151.4792,NA,39.7803,NA
BioshockHD.exe,2812,0xB458698,DXGI,0,0,1,Hardware Composed: Independent Flip,171.2604,NA,17.08690000000000,17.49730000000000,14.81660000000000,32.20480000000000,32.2137,168.8574,17.2196,2.4030,14.8166,17.0241,17.5837,2.4694,15.1143,-0.1191,168.8574,NA,41.2367,NA
BioshockHD.exe,2812,0xB458698,DXGI,0,0,1,Hardware Composed: Independent Flip,188.4026,NA,17.14220000000000,17.15390000000000,15.17600000000000,32.00160000000000,32.2254,186.0770,17.5016,2.3256,15.1760,17.3882,16.9390,2.4314,14.5076,0.0657,186.0770,NA,33.4291,NA
BioshockHD.exe,2812,0xB458698,DXGI,0,0,1,Hardware Composed: Independent Flip,206.2268,NA,17.82420000000000,17.05780000000000,14.50080000000000,31.44970000000000,31.4590,203.5786,17.1490,2.6482,14.5008,16.8256,17.2723,2.4206,14.8517,0.4438,203.5786,NA,32.4885,NA
BioshockHD.exe,2812,0xB458698,DXGI,0,0,1,Hardware Composed: Independent Flip,223.2378,NA,17.01100000000000,17.38580000000000,14.58400000000000,31.67000000000000,31.8338,220.7276,17.0942,2.5102,14.5840,16.9489,17.2313,2.4120,14.8193,-0.2368,220.7276,NA,34.8418,NA
